seed   0  truth +18.89%  g-formula +18.75%  err  -0.14pp   [0.4 min, ~38 min left]
seed  74  truth +13.60%  g-formula +14.28%  err  +0.68pp   [25.0 min, ~8 min left]
seed  75  truth +14.44%  g-formula +14.00%  err  -0.44pp   [25.3 min, ~8 min left]
seed  76  truth +12.65%  g-formula +12.25%  err  -0.40pp   [25.6 min, ~8 min left]
seed  77  truth +14.83%  g-formula +14.86%  err  +0.03pp   [26.0 min, ~7 min left]
seed  78  truth +11.95%  g-formula +18.21%  err  +6.26pp   [26.4 min, ~7 min left]
seed  79  truth +11.25%  g-formula +17.09%  err  +5.85pp   [26.7 min, ~7 min left]
seed  80  truth +13.82%  g-formula +13.07%  err  -0.75pp   [27.0 min, ~6 min left]
seed  81  truth +12.90%  g-formula +15.15%  err  +2.25pp   [27.3 min, ~6 min left]
seed  82  truth +14.19%  g-formula +15.05%  err  +0.86pp   [27.6 min, ~6 min left]
seed  83  truth +17.01%  g-formula +13.62%  err  -3.39pp   [27.9 min, ~5 min left]
seed  84  truth +13.39%  g-formula +12.61%  err  -0.79pp   [28.2 min, ~5 min left]
seed  85  truth +14.69%  g-formula +13.00%  err  -1.69pp   [28.4 min, ~5 min left]
seed  86  truth +13.97%  g-formula +11.22%  err  -2.75pp   [28.7 min, ~4 min left]
seed  87  truth +12.94%  g-formula +16.96%  err  +4.02pp   [29.1 min, ~4 min left]
seed  88  truth +11.96%  g-formula +17.34%  err  +5.38pp   [29.5 min, ~4 min left]
seed  89  truth +14.43%  g-formula +19.25%  err  +4.82pp   [29.8 min, ~3 min left]
seed  90  truth +14.81%  g-formula +14.26%  err  -0.54pp   [30.1 min, ~3 min left]
seed  91  truth +12.45%  g-formula +12.18%  err  -0.27pp   [30.4 min, ~3 min left]
seed  92  truth  +7.27%  g-formula +17.09%  err  +9.82pp   [30.6 min, ~2 min left]
seed  93  truth +13.84%  g-formula +12.47%  err  -1.37pp   [30.9 min, ~2 min left]
seed  94  truth +11.62%  g-formula +19.42%  err  +7.80pp   [31.3 min, ~2 min left]
seed  95  truth +15.96%  g-formula +14.79%  err  -1.17pp   [31.6 min, ~1 min left]
seed  96  truth +15.16%  g-formula +13.47%  err  -1.68pp   [31.8 min, ~1 min left]
seed  97  truth +15.98%  g-formula +15.31%  err  -0.67pp   [32.2 min, ~1 min left]
seed  98  truth +15.14%  g-formula +15.05%  err  -0.09pp   [32.5 min, ~0 min left]
seed  99  truth +18.32%  g-formula +17.50%  err  -0.82pp   [32.8 min, ~0 min left]

==========================================================================
G-FORMULA SAMPLING DISTRIBUTION — 100 successful replications, N=2000
==========================================================================
  g-formula ATE   mean +15.022  SD  2.320  MCSE 0.232
  ground truth    mean +14.301  SD  2.246
  bias vs population estimand: +0.721 pp

  ** empirical sampling SD of the estimator = 2.320 pp **
     compare against the bootstrap SE from a single cohort
saved -> /Users/mwestover/GithubRepos/CICADAS/cicadas/multiseed/coverage_results.csv
